text,category
netflix subscription renewal,Entertainment
gym membership monthly fee,Fitness
uber to airport,Travel
given to ,Gifts/Donations
electricity bill july,Utilities
starbucks latte and croissant,Food
weekly grocery run at whole foods,Shopping
annual car insurance payment,Finance
rent check for apartment 12a,Rent
freelance project payment - q3,Income
transfer to investment account,Finance
veterinarian visit and medicine for dog,Pets
birthday gift for jane,Gifts/Donations
online course enrollment for python,Education/Childcare
movie tickets and popcorn,Entertainment
property tax payment,Finance
mcdonalds combo meal,Food
kfc family bucket,Food
water bill for august,Utilities
doctor appointment co-pay,Health
dental cleaning service,Health
donation to local charity,Gifts/Donations
new running shoes from nike store,Shopping
amazon purchase - books and electronics,Shopping
monthly bus pass purchase,Travel
train ticket to new york city,Travel
monthly income deposit,Income
bonus payout from employer,Income
interest earned from savings account,Income
internet service provider monthly fee,Utilities
tuition payment for university semester,Education/Childcare
textbook purchase for college,Education/Childcare
subscription to spotify premium,Entertainment
dinner at italian restaurant,Food
gasoline fill-up for car,Auto/Fuel
oil change and tire rotation,Auto/Maintenance
loan repayment installment,Finance
credit card annual fee,Finance
investment in mutual fund,Finance
dog food and toys,Pets
cat litter and vet checkup,Pets
purchase of a new sofa,Shopping
home security system subscription,Utilities
transfer to emergency fund,Finance
haircut and salon service,Personal Care
massage therapy session,Personal Care
hardware store purchase for repairs,Home Maintenance
toll road payment,Travel
dividend income received,Income
withdrawal from atm,Others/Transfers
deposit via zelle,Others/Transfers
annual domain registration fee,Business
cloud service subscription (aws),Business
hotel stay for conference,Business
dinner with clients,Business
office supplies from staples,Business
subscription to zoom pro,Subscriptions
daycare fee for little timmy,Education/Childcare
private tutor for algebra class,Education/Childcare
new summer dress from nordstrom,Shopping
dry cleaning bill,Personal Care
trip to the local zoo tickets,Entertainment
new gaming headset purchase,Entertainment
guitar lessons monthly fee,Entertainment
atm withdrawal fee,Finance
late payment fee for credit card,Finance
reimbursement for travel expenses,Income
stock sale profits,Income
plumbing service emergency call,Home Maintenance
replacing water heater,Home Maintenance
purchase of an xbox console,Shopping
new dishwasher installation,Shopping
